Title,Sub_Category,Language,Scale,Page_No,Additional_Info
Moriya re bappa moriya re,Marathi Ganesh,Marathi,D or D#,18,Singer: Ajit Kadkade
Alay Nachat Ganaray Alay,Marathi Ganesh,Marathi,C#,17,Raag Kirwani
Ganpati karte charno me,Hindi Ganesh,Hindi,D#,16,
Ghar me padharo gajanan,Hindi Ganesh,Hindi,D#,15,
Gauri ganesh manau,Hindi Ganesh,Hindi,D#,14,
Aao aao gajanan aao,Hindi Ganesh,Hindi,D#,13,
Vandan tujhla he jag palak,Marathi Ganesh,Marathi,C#,11,
Gajanana shri ganraya,Marathi Ganesh,Marathi,C,10,
Rakh laaj meri ganpati,Hindi Ganesh,Hindi,C#,9,Raag Bhimpalasi
Pratham pehla samariye,Gujarati Ganesh,Gujarati,D#,8,
Ashi chik motyanchi,Marathi Ganesh,Marathi,C#,7,Raag Kirwani
Tuch Sukhkarta Tuch Dukhharta,Marathi Aarti,Marathi,G#,6,
Omkar Swarupa,Marathi Ganesh,Marathi,C#,5,"Raag Bairagi, Singer: Suresh Wadkar"
Vaaje mrudung Taal Veena,Marathi Ganesh,Marathi,C#or D#,4,
Mahaganpathim,Sanskrit Stotram,Sanskrit,C,3,"Raag Nattai, Composer: Muthuswami Dikshitar"
Sankatnashan ganesh stotram,Sanskrit Stotram,Sanskrit,C#or D#,2,
Gananam Ahvanam,Sanskrit Stotram,Sanskrit,,1,
Gajanana Gajanana,Popular Ganesh,Marathi,B,19,
Deva Shree Ganesh,Popular Ganesh,Hindi,A#,20,Movie: Agneepath
Ekdantay vakratunday,Popular Ganesh,Sanskrit,F#,21,Singer: Shankar Mahadevan
Sur Niragas ho,Popular Ganesh,Marathi,C#,22,Movie: Katyar Kaljat Ghusali
Ganesh Pancharatnam,Sanskrit Stotram,Sanskrit,D,23,Composer: Adi Shankaracharya
Gaiye ganpati jagvandan,Hindi Ganesh,Hindi,D or D#,24,Poet: Tulsidas
Moriya re (Don),Popular Ganesh,Hindi,E,25,"Movie: Don, Singer: Shankar Mahadevan"
Dhun (Ganesh Sharanam),Dhun,Hindi,D#,26,
Lambodara hey vighneshwara,Sanskrit Stotram,Sanskrit,D#,26,
Ganesh om,Dhun,Hindi,D#,26,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
